Device_Name,Loopback,Subnet_link1,Subnet_PE1-IP,Device_IP1,Subnet_link2,Subnet_PE2-IP,Device_IP2
ura-1,10.63.0.192/32,10.63.0.0/31,10.63.0.0/31,10.63.0.1/31,10.63.0.2/31,10.63.0.2/31,10.63.0.3/31
ura-2,10.63.0.193/32,10.63.0.4/31,10.63.0.4/31,10.63.0.5/31,10.63.0.6/31,10.63.0.6/31,10.63.0.7/31
ura-3,10.63.0.194/32,10.63.0.8/31,10.63.0.8/31,10.63.0.9/31,10.63.0.10/31,10.63.0.10/31,10.63.0.11/31
ura-4,10.63.0.195/32,10.63.0.12/31,10.63.0.12/31,10.63.0.13/31,10.63.0.14/31,10.63.0.14/31,10.63.0.15/31
ura-5,10.63.0.196/32,10.63.0.16/31,10.63.0.16/31,10.63.0.17/31,10.63.0.18/31,10.63.0.18/31,10.63.0.19/31
ura-6,10.63.0.197/32,10.63.0.20/31,10.63.0.20/31,10.63.0.21/31,10.63.0.22/31,10.63.0.22/31,10.63.0.23/31
ura-7,10.63.0.198/32,10.63.0.24/31,10.63.0.24/31,10.63.0.25/31,10.63.0.26/31,10.63.0.26/31,10.63.0.27/31
ums-8,10.63.0.199/32,10.63.0.28/31,10.63.0.28/31,10.63.0.29/31,10.63.0.30/31,10.63.0.30/31,10.63.0.31/31
ums-9,10.63.0.200/32,10.63.0.32/31,10.63.0.32/31,10.63.0.33/31,10.63.0.34/31,10.63.0.34/31,10.63.0.35/31
ums-10,10.63.0.201/32,10.63.0.36/31,10.63.0.36/31,10.63.0.37/31,10.63.0.38/31,10.63.0.38/31,10.63.0.39/31
ums-11,10.63.0.202/32,10.63.0.40/31,10.63.0.40/31,10.63.0.41/31,10.63.0.42/31,10.63.0.42/31,10.63.0.43/31
ums-12,10.63.0.203/32,10.63.0.44/31,10.63.0.44/31,10.63.0.45/31,10.63.0.46/31,10.63.0.46/31,10.63.0.47/31
ums-13,10.63.0.204/32,10.63.0.48/31,10.63.0.48/31,10.63.0.49/31,10.63.0.50/31,10.63.0.50/31,10.63.0.51/31
ums-14,10.63.0.205/32,10.63.0.52/31,10.63.0.52/31,10.63.0.53/31,10.63.0.54/31,10.63.0.54/31,10.63.0.55/31
sums-15,10.63.0.206/32,10.63.0.56/31,10.63.0.56/31,10.63.0.57/31,10.63.0.58/31,10.63.0.58/31,10.63.0.59/31
sums-16,10.63.0.207/32,10.63.0.60/31,10.63.0.60/31,10.63.0.61/31,10.63.0.62/31,10.63.0.62/31,10.63.0.63/31
sums-17,10.63.0.208/32,10.63.0.64/31,10.63.0.64/31,10.63.0.65/31,10.63.0.66/31,10.63.0.66/31,10.63.0.67/31
sums-18,10.63.0.209/32,10.63.0.68/31,10.63.0.68/31,10.63.0.69/31,10.63.0.70/31,10.63.0.70/31,10.63.0.71/31
sums-19,10.63.0.210/32,10.63.0.72/31,10.63.0.72/31,10.63.0.73/31,10.63.0.74/31,10.63.0.74/31,10.63.0.75/31
sums-20,10.63.0.211/32,10.63.0.76/31,10.63.0.76/31,10.63.0.77/31,10.63.0.78/31,10.63.0.78/31,10.63.0.79/31
sums-21,10.63.0.212/32,10.63.0.80/31,10.63.0.80/31,10.63.0.81/31,10.63.0.82/31,10.63.0.82/31,10.63.0.83/31
sums-22,10.63.0.213/32,10.63.0.84/31,10.63.0.84/31,10.63.0.85/31,10.63.0.86/31,10.63.0.86/31,10.63.0.87/31
sums-23,10.63.0.214/32,10.63.0.88/31,10.63.0.88/31,10.63.0.89/31,10.63.0.90/31,10.63.0.90/31,10.63.0.91/31
sums-24,10.63.0.215/32,10.63.0.92/31,10.63.0.92/31,10.63.0.93/31,10.63.0.94/31,10.63.0.94/31,10.63.0.95/31
sums-25,10.63.0.216/32,10.63.0.96/31,10.63.0.96/31,10.63.0.97/31,10.63.0.98/31,10.63.0.98/31,10.63.0.99/31
sums-26,10.63.0.217/32,10.63.0.100/31,10.63.0.100/31,10.63.0.101/31,10.63.0.102/31,10.63.0.102/31,10.63.0.103/31
sums-27,10.63.0.218/32,10.63.0.104/31,10.63.0.104/31,10.63.0.105/31,10.63.0.106/31,10.63.0.106/31,10.63.0.107/31
sums-28,10.63.0.219/32,10.63.0.108/31,10.63.0.108/31,10.63.0.109/31,10.63.0.110/31,10.63.0.110/31,10.63.0.111/31
sums-29,10.63.0.220/32,10.63.0.112/31,10.63.0.112/31,10.63.0.113/31,10.63.0.114/31,10.63.0.114/31,10.63.0.115/31
sums-30,10.63.0.221/32,10.63.0.116/31,10.63.0.116/31,10.63.0.117/31,10.63.0.118/31,10.63.0.118/31,10.63.0.119/31
sums-31,10.63.0.222/32,10.63.0.120/31,10.63.0.120/31,10.63.0.121/31,10.63.0.122/31,10.63.0.122/31,10.63.0.123/31
sums-32,10.63.0.223/32,10.63.0.124/31,10.63.0.124/31,10.63.0.125/31,10.63.0.126/31,10.63.0.126/31,10.63.0.127/31
sums-33,10.63.0.224/32,10.63.0.128/31,10.63.0.128/31,10.63.0.129/31,10.63.0.130/31,10.63.0.130/31,10.63.0.131/31
sums-34,10.63.0.225/32,10.63.0.132/31,10.63.0.132/31,10.63.0.133/31,10.63.0.134/31,10.63.0.134/31,10.63.0.135/31
sums-35,10.63.0.226/32,10.63.0.136/31,10.63.0.136/31,10.63.0.137/31,10.63.0.138/31,10.63.0.138/31,10.63.0.139/31
sums-36,10.63.0.227/32,10.63.0.140/31,10.63.0.140/31,10.63.0.141/31,10.63.0.142/31,10.63.0.142/31,10.63.0.143/31
sums-37,10.63.0.228/32,10.63.0.144/31,10.63.0.144/31,10.63.0.145/31,10.63.0.146/31,10.63.0.146/31,10.63.0.147/31
sums-38,10.63.0.229/32,10.63.0.148/31,10.63.0.148/31,10.63.0.149/31,10.63.0.150/31,10.63.0.150/31,10.63.0.151/31
sums-39,10.63.0.230/32,10.63.0.152/31,10.63.0.152/31,10.63.0.153/31,10.63.0.154/31,10.63.0.154/31,10.63.0.155/31
sums-40,10.63.0.231/32,10.63.0.156/31,10.63.0.156/31,10.63.0.157/31,10.63.0.158/31,10.63.0.158/31,10.63.0.159/31
